L.p.;Nazwa jednostki organizacyjnej;Nazwa jednostki oświatowej, wchodzącej w skład jedn. org.;Lokalizacja budynków;Adres siedziby jedn. org.;Typ placówki;Placówka samodzielna/zespół przedszkoli/zespół szkolno-przedszkolny/zespół szkół/ośrodek;Kod pocz.siedziby;Miasto;Telefony (kier. 71);Fax(kier. 71);Dyrektor;Adres e-mail
1.;Przedszkole nr 1 Planeta Uśmiechu;nie dotyczy;al. Jana Kasprowicza 89a;al. Jana Kasprowicza 89a;przedszkole;samodzielna;51-146;Wrocław;7986746;7984246;Ewa Bartosz;Sekretariat.p001[at]wroclawskaedukacja.pl
2.;Przedszkole nr 2 Tajemniczy Ogród;nie dotyczy;ul. Walerego Sławka 5;ul. Walerego Sławka 5;przedszkole;samodzielna;51-690;Wrocław;7986776;;Paulina Kobylańska;Sekretariat.p002[at]wroclawskaedukacja.pl
3.;Przedszkole nr 3 Wesoła Trójeczka;nie dotyczy;ul. Nowowiejska 80;ul. Nowowiejska 80;przedszkole;samodzielna;50-315;Wrocław;7986782;7984282;Anna Pudłowska;Sekretariat.p003[at]wroclawskaedukacja.pl
4.;Przedszkole nr 4;nie dotyczy;ul. Słowicza 3-5ul. Słowicza 7-9;ul. Słowicza 7-9;przedszkole;samodzielna;53-320;Wrocław;7986788;7984288;Beata Miturska;Sekretariat.p004[at]wroclawskaedukacja.pl
5.;Przedszkole nr 5 Wrocławskie Krasnale;nie dotyczy;ul. Dźwirzyńska 3;ul. Dźwirzyńska 3;przedszkole;samodzielna;54-320;Wrocław;7986935;7984435;Renata Bysiewicz;Sekretariat.p005[at]wroclawskaedukacja.pl
6.;Przedszkole nr 6 Nad Odrą;nie dotyczy;ul. Braci Gierymskich 89;ul. Braci Gierymskich 89;przedszkole;samodzielna;51-640;Wrocław;7986803;7984303;Monika Ciesielska;Sekretariat.p006[at]wroclawskaedukacja.pl
7.;Przedszkole nr 10 Przedszkole na każdą pogodę;nie dotyczy;ul. Starogajowa 100ul. Piotrkowska 9;ul. Starogajowa 100;przedszkole;samodzielna;54-047;Wrocław;7986747;7984247;Barbara Bogdał;Sekretariat.p010[at]wroclawskaedukacja.pl
8.;Przedszkole Integracyjne nr 12 im. Diany, Księżnej Walii;nie dotyczy;ul. Zgodna 10-14;ul. Zgodna 10-14;przedszkole;samodzielna;50-432;Wrocław;7986759;7984259;Bożena Gonciarz;Sekretariat.p012[at]wroclawskaedukacja.pl
9.;Przedszkole nr 13;nie dotyczy;ul. Zygmunta Noskowskiego 32;ul. Zygmunta Noskowskiego 32;przedszkole;samodzielna;51-611;Wrocław;7986766;7984266;Magdalena Dudzińska;Sekretariat.p013[at]wroclawskaedukacja.pl
10.;Przedszkole nr 14 Kowaliki;nie dotyczy;ul. Kwidzyńska 1;ul. Kwidzyńska 1;przedszkole;samodzielna;51-415;Wrocław;7986936;7984436;Joanna Mielcarek;Sekretariat.p014[at]wroclawskaedukacja.pl
11.;Przedszkole nr 15 im. Kardynała Joachima Meisnera;nie dotyczy;ul. Wolska 9ul. Prochowicka 21;ul. Wolska 9;przedszkole;samodzielna;54-076;Wrocław;7986937;7984437;Jolanta Mądry;Sekretariat.p015[at]wroclawskaedukacja.pl
12.;Przedszkole nr 17;nie dotyczy;ul. gen. Leopolda Okulickiego 2a;ul. gen. Leopolda Okulickiego 2a;przedszkole;samodzielna;51-216;Wrocław;7986714;;Ewa Kulczyńska;sekretariat.p017[at]wroclawskaedukacja.pl
13.;Przedszkole nr 18 Wiolinek;nie dotyczy;ul. Henryka Sienkiewicza 85;ul. Henryka Sienkiewicza 85;przedszkole;samodzielna;50-348;Wrocław;7986775;7984275;Lidia Walczak-Iżycka;Sekretariat.p018[at]wroclawskaedukacja.pl
14.;Przedszkole nr 21;nie dotyczy;wyb. Conrada-Korzeniowskiego 10;wyb. Conrada-Korzeniowskiego 10;przedszkole;samodzielna;50-226;Wrocław;7986777;7984277;Monika Banasiak;Sekretariat.p021[at]wroclawskaedukacja.pl
15.;Przedszkole nr 22 Muchoborek;nie dotyczy;ul. Stanisławowska 90;ul. Stanisławowska 90;przedszkole;samodzielna;54-611;Wrocław;7986778;7984278;Jagoda Jaskuła;Sekretariat.p022[at]wroclawskaedukacja.pl
16.;Przedszkole nr 23;nie dotyczy;ul. Zwycięska 8a;ul. Zwycięska 8a;przedszkole;samodzielna;53-033;Wrocław;7986712;;Małgorzata Pijar;sekretariat.p023[at]wroclawskaedukacja.pl
17.;Przedszkole nr 25 Słowiańskie Maluchy;nie dotyczy;ul. Kręta 1a;ul. Kręta 1a;przedszkole;samodzielna;50-237;Wrocław;7986779;7984279;Urszula Ryng;Sekretariat.p025[at]wroclawskaedukacja.pl
18.;Przedszkole nr 26 Sportowa Kraina;nie dotyczy;al. Śląska 1;al. Śląska 1;przedszkole;samodzielna;54-118;Wrocław;7986709 wew.100,110;;Dorota Sztorc;sekretariat.p026[at]wroclawskaedukacja.pl
19.;Przedszkole nr 28 Fantazja;nie dotyczy;ul. Orla 5-7;ul. Orla 5-7;przedszkole;samodzielna;53-143;Wrocław;7986781;7984281;Anna Wójcik;Sekretariat.p028[at]wroclawskaedukacja.pl
20.;Przedszkole nr 33 Staromiejskie;nie dotyczy;ul. Łąkowa 2a;ul. Łąkowa 2a;przedszkole;samodzielna;50-036;Wrocław;7986784;7984284;Monika Janik;Sekretariat.p033[at]wroclawskaedukacja.pl
21.;Przedszkole nr 34 im. Polskiego Czerwonego Krzyża;nie dotyczy;ul. Gdańska 26;ul. Gdańska 26;przedszkole;samodzielna;50-344;Wrocław;7986785;7984285;Elżbieta Taźbirek;Sekretariat.p034[at]wroclawskaedukacja.pl
22.;Przedszkole nr 35 z oddziałami integracyjnymi Tęczowy Domek;nie dotyczy;ul. gen. Kazimierza Pułaskiego 20aul. Komuny Paryskiej 44,46;ul. gen. Kazimierza Pułaskiego 20a;przedszkole;samodzielna;50-446;Wrocław;7986786;7984286;Renata Bytnar;Sekretariat.p035[at]wroclawskaedukacja.pl
23.;Przedszkole nr 36 im. Wandy Chmielowskiej;nie dotyczy;ul. Witelona 6;ul. Witelona 6;przedszkole;samodzielna;51-617;Wrocław;7986787;7984287;Elżbieta Żywicka-Belghoul;Sekretariat.p036[at]wroclawskaedukacja.pl
24.;Przedszkole nr 41 im. Jana Pawła II;nie dotyczy;ul. Dobra 16;ul. Dobra 16;przedszkole;samodzielna;53-678;Wrocław;7986789;7984289;Małgorzata Szychowiak;Sekretariat.p041[at]wroclawskaedukacja.pl
25.;Przedszkole nr 43 Kolorowe;nie dotyczy;ul. Tadeusza Kościuszki 27a;ul. Tadeusza Kościuszki 27a;przedszkole;samodzielna;50-011;Wrocław;7986790;;Violetta Koc-Aleksandrowicz;Sekretariat.p043[at]wroclawskaedukacja.pl
26.;Przedszkole nr 47 Leśny Ludek;nie dotyczy;al. Ludomira Różyckiego 1a;al. Ludomira Różyckiego 1a;przedszkole;samodzielna;51-608;Wrocław;7986791;7984291;Jowita Maziarz;Sekretariat.p047[at]wroclawskaedukacja.pl
27.;Przedszkole nr 48;nie dotyczy;ul. Kazimierza Bartla 3;ul. Kazimierza Bartla 3;przedszkole;samodzielna;51-618;Wrocław;7986792;;Małgorzata Stankowska;Sekretariat.p048[at]wroclawskaedukacja.pl
28.;Przedszkole nr 49 im. Tysiąclecia Miasta Wrocławia;nie dotyczy;ul. Borowska 181-187;ul. Borowska 181-187;przedszkole;samodzielna;50-553;Wrocław;7986793;7984293;Izabela Chmiel;Sekretariat.p049[at]wroclawskaedukacja.pl
29.;Przedszkole nr 50Mały Kolejarz;nie dotyczy;ul. Dyrekcyjna 15;ul. Dyrekcyjna 15;przedszkole;samodzielna;50-528;Wrocław;7986794;7984294;Małgorzata Boczek;Sekretariat.p050[at]wroclawskaedukacja.pl
30.;Przedszkole nr 51 Kolorowy Początek;nie dotyczy;ul. Warszawska 4ul. Semaforowa 42;ul. Semaforowa 42;przedszkole;samodzielna;52-115;Wrocław;7986795;7984295;Iwona Balawajder- Brożek;Sekretariat.p051[at]wroclawskaedukacja.pl
31.;Przedszkole nr 52 Gołąbki Pocztowe;nie dotyczy;ul. Łączności 5-7;ul. Łączności 5-7;przedszkole;samodzielna;53-330;Wrocław;7986796;;Magdalena Kotlarz-Michalska;Sekretariat.p052[at]wroclawskaedukacja.pl
32.;Przedszkole nr 54 Pod Kasztanami;nie dotyczy;ul. Edwarda Wittiga 3;ul. Edwarda Wittiga 3;przedszkole;samodzielna;51-628;Wrocław;7986797;7984297;Irena Młyńczak;Sekretariat.p054[at]wroclawskaedukacja.pl
33.;Przedszkole nr 55;nie dotyczy;ul. Nowowiejska 36;ul. Nowowiejska 36;przedszkole;samodzielna;50-315;Wrocław;7986798;7984298;Grażyna Barczyk;Sekretariat.p055[at]wroclawskaedukacja.pl
34.;Przedszkole nr 56Niezapominajka;nie dotyczy;ul. Wałbrzyska 16ul. Wałbrzyska 2aul. Dożynkowa 6a;ul. Wałbrzyska 16;przedszkole;samodzielna;52-314;Wrocław;7986799;7984299;Katarzyna Głowik-Jamróz;Sekretariat.p056[at]wroclawskaedukacja.pl
35.;Przedszkole nr 57 Mały Książę;nie dotyczy;ul. Chorzowska 55;ul. Chorzowska 55;przedszkole;samodzielna;52-023;Wrocław;7986800;7984300;Iwona Łachman;Sekretariat.p057[at]wroclawskaedukacja.pl
36.;Przedszkole nr 58;nie dotyczy;ul. Strzegomska 322ul. Szkocka 64b;ul. Strzegomska 322;przedszkole;samodzielna;54-432;Wrocław;7986801;7984301;Agata Ziółkiewicz;Sekretariat.p058[at]wroclawskaedukacja.pl
37.;Przedszkole nr 59 U Krasnala pod Narcyzem;nie dotyczy;ul. Narcyzowa 6;ul. Narcyzowa 6;przedszkole;samodzielna;53-225;Wrocław;7986802;7984302;Renata Nowak;Sekretariat.p059[at]wroclawskaedukacja.pl
38.;Przedszkole nr 61 Gajowickie Skrzaty;nie dotyczy;ul. Gajowicka 199;ul. Gajowicka 199;przedszkole;samodzielna;53-150;Wrocław;7986804;7986804;Joanna Jandy;Sekretariat.p061[at]wroclawskaedukacja.pl
39.;Przedszkole nr 62 Stumilowy Las;nie dotyczy;ul. Stabłowicka 97;ul. Stabłowicka 97;przedszkole;samodzielna;54-062;Wrocław;7986805;7984305;Agata Zielińska;Sekretariat.p062[at]wroclawskaedukacja.pl
40.;Przedszkole nr 65 Pod Wesołym Koziołkiem;nie dotyczy;ul. Nożownicza 35a;ul. Nożownicza 35a;przedszkole;samodzielna;50-147;Wrocław;7986807;7984307;Honorata Siemiątkowska;Sekretariat.p065[at]wroclawskaedukacja.pl
41.;Przedszkole nr 66 Bajkolandia;nie dotyczy;ul. Łączna 1-5;ul. Łączna 1-5;przedszkole;samodzielna;54-004;Wrocław;7986808;7984308;Dorota Mandziuk-Polenceusz;Sekretariat.p066[at]wroclawskaedukacja.pl
42.;Przedszkole Integracyjne nr 68 im. Roku 2000;nie dotyczy;ul. Jana Długosza 29;ul. Jana Długosza 29;przedszkole;samodzielna;51-162;Wrocław;7986809;7984309;Marzena Puchała;Sekretariat.p068[at]wroclawskaedukacja.pl
43.;Przedszkole nr 71 Chatka Małego Skrzatka;nie dotyczy;ul. Kiełczowska 31ul. Kiełczowska 33;ul. Kiełczowska 31;przedszkole;samodzielna;51-315;Wrocław;7986810;7984310;Marzena Słowińska-Maćkiewicz;Sekretariat.p071[at]wroclawskaedukacja.pl
44.;Przedszkole nr 74 Mały Piekarczyk;nie dotyczy;ul. Krzywa 3;ul. Krzywa 3;przedszkole;samodzielna;50-338;Wrocław;7986812;3279044;Marzena Terka;sekretariat.p074[at]wroclawskaedukacja.pl
45.;Przedszkole nr 77 Tęczowe Siódemki;nie dotyczy;ul. Juliana Ursyna Niemcewicza 4;ul. Juliana Ursyna Niemcewicza 4;przedszkole;samodzielna;50-238;Wrocław;7986813;7984313;Ewa Starzyk;Sekretariat.p077[at]wroclawskaedukacja.pl
46.;Przedszkole nr 79;nie dotyczy;ul. Piwna 14;ul. Piwna 14;przedszkole;samodzielna;50-353;Wrocław;7986814;7984314;Marzena Szepelak;Sekretariat.p079[at]wroclawskaedukacja.pl
47.;Przedszkole nr 80 Zielona Dolinka;nie dotyczy;ul. Tadeusza Zielińskiego 74;ul. Tadeusza Zielińskiego 74;przedszkole;samodzielna;53-534;Wrocław;7986815;7984315;Małgorzata Sowula;Sekretariat.p080[at]wroclawskaedukacja.pl
